place,state,country,all_minimums_repealed,status,policy_change,scope,land_uses,reform_date,population,lat,long,url,reporter,summary
Belleville,KS,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,2007,39.8246673,-97.6325554,https://parkingreform.org/mandates-map/city_detail/Belleville_KS.html,Samuel Deetz,The C-2 Central Business District is exempt from minimum parking requirements.
Belleville,WI,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,2491,42.8595048,-89.5333388,https://parkingreform.org/mandates-map/city_detail/Belleville_WI.html,Samuel Deetz,Areas which are located in a fire district as designated on the Official Map are exempt from minimum parking requirements.
Bellevue,IA,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,2363,42.2587152,-90.4230824,https://parkingreform.org/mandates-map/city_detail/Bellevue_IA.html,Samuel Deetz,The “C-1” Central Commercial District is exempt from minimum parking requirements.
Bellevue,OH,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,8249,41.2736163,-82.8409057,https://parkingreform.org/mandates-map/city_detail/Bellevue_OH.html,Samuel Deetz,Off-street parking is not required in the B-1 Central Business District.
Bellevue,PA,United States,FALSE,implemented,remove parking minimums,citywide,commercial,,8311,40.4939576,-80.0517216,https://parkingreform.org/mandates-map/city_detail/Bellevue_PA.html,Samuel Deetz,Laundromats are exempt from parking mandates.
Bellevue,WA,United States,FALSE,implemented,"add parking maximums,reduce parking minimums","city center / business district,transit oriented","commercial,other,residential, all uses",,151854,47.6144219,-122.192337,https://parkingreform.org/mandates-map/city_detail/Bellevue_WA.html,Samuel Deetz,"Parking minimums are reduced for housing near transit, and within the Downtown, Eastgate Transit Oriented Development, and East Main Transit Oriented Development districts. Parking maximums apply to most uses citywide."
Bellflower,IL,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,346,40.3400336,-88.5270053,https://parkingreform.org/mandates-map/city_detail/Bellflower_IL.html,Samuel Deetz,The C-1 Central Commercial District is exempt from minimum parking requirements.
Bellingham,WA,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,92314,48.7544012,-122.4788361,https://parkingreform.org/mandates-map/city_detail/Bellingham_WA.html,,"There are no minimum parking requirements for specific land tracts in the downtown area, with the exception of hotels/motels. 

The planning director may reduce minimum parking required if the development includes programs to reduce single occupancy vehicle trips through senior and affordable housing, implementation of a shared car service (i.e., Zipcar™), enhanced bike storage facilities, purchase of WTA transit passes, installation of covered transit shelters, off-site pedestrian infrastructure improvements, or other similar strategies. "
Bellwood,IL,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,18789,41.8814197,-87.883117,https://parkingreform.org/mandates-map/city_detail/Bellwood_IL.html,Samuel Deetz,"When the application of the off-street parking provisions results in a requirement of not more than three spaces on a single zoning lot in any business or industrial district, such parking spaces need not be provided; however, where two or more uses are located on a single zoning lot, only one of those uses is eligible for the exemption."
Bellwood,NE,United States,FALSE,implemented,remove parking minimums,city center / business district,"commercial,residential, all uses",,407,41.3427903,-97.2383727,https://parkingreform.org/mandates-map/city_detail/Bellwood_NE.html,Samuel Deetz,"Off-street parking requirements do not apply to uses within the C-2 General Commercial District, however all uses considered places of assembly, such as churches and halls, should provide for off-street parking."
Belmond,IA,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,2463,42.8459977,-93.6143413,https://parkingreform.org/mandates-map/city_detail/Belmond_IA.html,Samuel Deetz,Minimum parking requirements do not apply to areas in the Commercial District (C-1).
Belmont,NC,United States,FALSE,implemented,"reduce parking minimums,remove parking minimums",city center / business district,all uses,,15010,35.2438272,-81.0377322,https://parkingreform.org/mandates-map/city_detail/Belmont_NC.html,Samuel Deetz,"Uses less than 2,500 square feet are exempt from parking requirements in the D-D Downtown District and NC-C Neighborhood Center Commercial District. Within all districts, parking requirements may be satisfied using on-street parking in front of buildings or public lots within 300 ft of primary building entrances. The maximum number of parking spaces allowed is 125% of the number of required parking spaces. Structured parking facilities are exempt from the maximum."
Beloit,WI,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,36609,42.5083272,-89.031784,https://parkingreform.org/mandates-map/city_detail/Beloit_WI.html,Samuel Deetz,"There are no parking minimums in the central business district, neighborhood parks, school play areas, or in vacant lots."
Belvidere,IL,United States,FALSE,implemented,reduce parking minimums,city center / business district,all uses,,25339,42.2579991,-88.841734,https://parkingreform.org/mandates-map/city_detail/Belvidere_IL.html,Samuel Deetz,"Parking requirements within the central business (CB) district are waived, unless the zoning administrator notes otherwise."
Ben Avon,PA,United States,FALSE,implemented,remove parking minimums,citywide,commercial,,1918,40.5081241,-80.0831114,https://parkingreform.org/mandates-map/city_detail/BenAvon_PA.html,Samuel Deetz,Laundromats are exempt from parking mandates.
Bend,OR,United States,TRUE,implemented,"add parking maximums,remove parking minimums",citywide,all uses,2023-01-19,100421,44.0581728,-121.3153096,https://parkingreform.org/mandates-map/city_detail/Bend_OR.html,Melanie Kebler,"On January 18, 2023, the Bend City Council voted 4-2 to no longer require that developers create a minimum number of off-street parking spaces for new developments.  Parking maximums apply to most uses."
Bennet,NE,United States,FALSE,implemented,remove parking minimums,city center / business district,commercial,,1082,40.6790215,-96.5078002,https://parkingreform.org/mandates-map/city_detail/Bennet_NE.html,Samuel Deetz,Commercial uses in the (B-2) Central Business District are exempt from minimum parking requirements.
Bennington,NE,United States,FALSE,implemented,reduce parking minimums,city center / business district,commercial,,2026,41.3647193,-96.1577968,https://parkingreform.org/mandates-map/city_detail/Bennington_NE.html,Samuel Deetz,"In the C-1 Highway Commercial District, C-2 Highway Commercial Center District (Overlay), C-3 Downtown Commercial District, and C-4 Flex Business District, on-street parking within 400 feet of the use may be included in the total required off-street parking, except for apartments."
Bensenville,IL,United States,FALSE,implemented,"add parking maximums,reduce parking minimums,remove parking minimums",city center / business district,commercial,2018-12-18,18813,41.9538384,-87.9431781,https://parkingreform.org/mandates-map/city_detail/Bensenville_IL.html,Samuel Deetz,"Minimum parking requirements do not apply to non-residential uses in the C-1 District with approval of the Zoning Administrator. In all districts, the off-street parking requirements may be reduced for non-residential uses with prior written approval by the Zoning Administrator based on proximity to a commuter rail station, proximity to a bus stop, or proximity to a municipal parking lot. All uses may reduce parking requirements with approval by providing an EV charging station, paying a fee-in-lieu of required parking, or providing dedicated carshare spaces. No use may provide parking spaces in excess of one hundred twenty five percent (125%) of the required minimum parking amount, except residential uses in residential districts,  or for uses requiring 10 spaces or less."
Benton Harbor,MI,United States,FALSE,implemented,"add parking maximums,remove parking minimums",city center / business district,"commercial,other",,9103,42.1167065,-86.4541894,https://parkingreform.org/mandates-map/city_detail/BentonHarbor_MI.html,Samuel Deetz,Ground floor non‐residential uses in the C‐B Central Business District are exempt from parking mandates. Parking maximums are set at 110% of the minimums in the M-U Mixed-Use District.
Benton,AR,United States,FALSE,implemented,"add parking maximums,reduce parking minimums,remove parking minimums",city center / business district,all uses,,35014,34.563483,-92.586931,https://parkingreform.org/mandates-map/city_detail/Benton_AR.html,Samuel Deetz,"Within the TC-3 Town Center Zone, there are no minimum parking requirements and surface parking is not permitted. Parking requirements are reduced in the C1 Neighborhood Commercial, TC-1 Town Center Zone, and TC-2 Town Center Zone."
Benton,IL,United States,FALSE,implemented,remove parking minimums,city center / business district,commercial,,6708,37.9967163,-88.9200685,https://parkingreform.org/mandates-map/city_detail/Benton_IL.html,Samuel Deetz,Off-street parking is not required for any permitted use except special uses in the B-1 Central Business District.
Benton,KS,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,943,37.7889039,-97.1086498,https://parkingreform.org/mandates-map/city_detail/Benton_KS.html,Samuel Deetz,No parking is required in the B-2 Central Business District.
Benton,WI,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,946,42.569382,-90.3809239,https://parkingreform.org/mandates-map/city_detail/Benton_WI.html,Samuel Deetz,Areas which are located in a fire district as designated on the Official Map are exempt from minimum parking requirements.
Bentonville,AR,United States,FALSE,implemented,"reduce parking minimums,remove parking minimums",city center / business district,commercial,,54164,36.3728538,-94.2088172,https://parkingreform.org/mandates-map/city_detail/Bentonville_AR.html,Samuel Deetz,"Within the DC and DE Downtown zoning districts, a structure with less than 
 3,000 square feet on the ground floor is exempt from minimum parking requirements. All other uses in the districts have reduced requirements. The R-C2 Central Residential - Moderate Density, and R-C3 Central Residential High Density Districts have reduced parking requirements."
Benzonia,MI,United States,FALSE,implemented,"reduce parking minimums,remove parking minimums",city center / business district,all uses,,551,44.621389,-86.099258,https://parkingreform.org/mandates-map/city_detail/Benzonia_MI.html,Samuel Deetz,"The US-31 Corridor Overlay Top-of-the-Hill District (COD-T) is exempt from minimum parking requirements.
Within the Village Mixed Use District (VMU) or a property within 800 feet of the district, parking requirements may be reduced based on the availability of public parking. Parking requirements may be reduced in all districts through the provision of bike parking or EV chargers."
Beresford,SD,United States,FALSE,implemented,remove parking minimums,city center / business district,commercial,,2180,43.0806132,-96.7742341,https://parkingreform.org/mandates-map/city_detail/Beresford_SD.html,Samuel Deetz,"Minimum parking requirements are not applicable to property in the CB Central Business District, except for residential uses which are authorized by a conditional use permit. "
Berkeley,CA,United States,FALSE,implemented,"add parking maximums,remove parking minimums",citywide,"residential, all uses",,121363,37.8708393,-122.272863,https://parkingreform.org/mandates-map/city_detail/Berkeley_CA.html,Tom Radulovich,"Berkeley has no parking requirements for new residential developments of any size, except for new developments on certain narrow streets in the hills. The city has parking maximums for new residential uses. "
Berkley,MI,United States,FALSE,implemented,"reduce parking minimums,remove parking minimums",citywide,"commercial,industrial,other",,15194,42.5030909,-83.1835389,https://parkingreform.org/mandates-map/city_detail/Berkley_MI.html,Samuel Deetz,"If a non-residential use is within 500 feet of a municipal parking lot, without crossing a major thoroughfare, no parking is required. Parking requirements may be reduced through the provision of bike parking."
Berlin,BE,Germany,TRUE,implemented,remove parking minimums,citywide,all uses,1997,3576873,52.5103817,13.4349112,https://parkingreform.org/mandates-map/city_detail/Berlin_BE.html,Samuel Deetz,Berlin eliminated parking mandates citywide in 1997.
Berlin,MD,United States,FALSE,implemented,reduce parking minimums,city center / business district,all uses,,5026,38.324505,-75.2188589,https://parkingreform.org/mandates-map/city_detail/Berlin_MD.html,Samuel Deetz,"Within the B-1 Town Center District, a fee in lieu of parking may be provided."
Bernice,OK,United States,FALSE,implemented,reduce parking minimums,city center / business district,commercial,,422,36.6159107,-94.9177365,https://parkingreform.org/mandates-map/city_detail/Bernice_OK.html,Samuel Deetz,Parking requirements are reduced for retail uses in the C-3 General Commercial District.
Berrien Springs,MI,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,1727,41.9464336,-86.3388965,https://parkingreform.org/mandates-map/city_detail/BerrienSprings_MI.html,Andrew von Mauer,"Berrien Springs has no off street parking requirements in the central business district. There are no set minimums along the M-139 Corridor for non-residential uses, but developers must demonstrate adequate parking supply."
Berryville,AR,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,5682,36.3704704,-93.5695551,https://parkingreform.org/mandates-map/city_detail/Berryville_AR.html,Samuel Deetz,Minimum parking requirements do not apply within the C-1 Central Business District.
Berthold,ND,United States,FALSE,implemented,"add parking maximums,remove parking minimums",city center / business district,commercial,,490,48.313069,-101.737108,https://parkingreform.org/mandates-map/city_detail/Berthold_ND.html,Samuel Deetz,"Within the “MS-C” Main Street Commercial District, all customer and employee parking for businesses located on Main Street must be on-street parking. However, businesses with company vehicles that remain on-site after business hours are required to be parked either within the building or in the rear yard of the property."
Berthoud,CO,United States,FALSE,implemented,"add parking maximums,reduce parking minimums",city center / business district,commercial,,10332,40.3083174,-105.081092,https://parkingreform.org/mandates-map/city_detail/Berthoud_CO.html,Samuel Deetz,"Commercial uses either renovating or expanding existing properties fronting on Massachusetts Ave. between 3rd and 5th Streets, Mountain Ave. between 1st and 5th Streets or Welch Avenue between 1st and 5th Streets are exempt from parking requirements. Parking maximums are set at 125% of the minimums for nonresidential uses."
Bertrand Township,MI,United States,FALSE,implemented,"add parking maximums,reduce parking minimums",city center / business district,all uses,,2611,41.78629925,-86.3404660849385,https://parkingreform.org/mandates-map/city_detail/BertrandTownship_MI.html,Samuel Deetz,On-street and public parking may count towards parking requirements in the C District. Parking maximums are set at 110% of the minimums.
Berwick,PA,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,10355,41.0602024,-76.2461259,https://parkingreform.org/mandates-map/city_detail/Berwick_PA.html,Samuel Deetz,The C-3 District (Downtown Commercial District) is exempt from parking mandates.
Berwyn,IL,United States,FALSE,implemented,reduce parking minimums,"city center / business district,citywide","all uses,commercial",2017-09-12,57250,41.8505874,-87.7936685,https://parkingreform.org/mandates-map/city_detail/Berwyn_IL.html,Samuel Deetz,"Parking requirements may be reduced through the availability of on-street parking, or the proximity of a commuter rail station or bus stop. In the C-2 Traditional Mixed-Use District along Cermak Road only, developments that are located within 400 feet of a municipal parking lot have reduced parking requirements. Any property in the C-2 Traditional Mixed-Use District or C-3 Depot Mixed-Use District may satisfy any off-street parking requirement for a non-residential use through payment of a fee-in-lieu of providing parking spaces, subject to approval by the Zoning, Planning, and Development Commission."
Bessemer City,NC,United States,FALSE,implemented,"add parking maximums,reduce parking minimums","city center / business district,citywide",all uses,,5428,35.284733,-81.283906,https://parkingreform.org/mandates-map/city_detail/BessemerCity_NC.html,Samuel Deetz,Within the CC City center district parking must be provided unless it can be accommodated within 500 feet of a public parking lot as determined by the administrator. Parking maximums are set at 150% of the minimum parking standards. On-street parking may be used to satisfy some of the off-street parking that otherwise is required for a particular use.
Bessemer,MI,United States,FALSE,implemented,add parking maximums,citywide,all uses,,1805,46.4813363,-90.0529504,https://parkingreform.org/mandates-map/city_detail/Bessemer_MI.html,Samuel Deetz,No parking lot shall exceed the minimum parking space requirements by ten percent (10%) greater than required.
Bethany Beach,DE,United States,FALSE,implemented,remove parking minimums,city center / business district,commercial,,954,38.5379676,-75.0588646,https://parkingreform.org/mandates-map/city_detail/BethanyBeach_DE.html,Samuel Deetz,Commercial uses in the C-1 Central Commercial District are exempt from minimum parking requirements.
Bethel,MN,United States,FALSE,implemented,reduce parking minimums,city center / business district,all uses,,476,45.404098,-93.2678063,https://parkingreform.org/mandates-map/city_detail/Bethel_MN.html,Samuel Deetz,"If off-street parking spaces were not provided for structures that were occupied before the enactment of parking requirements, provision of parking is not required. The erection, expansion or change of use of any principal building and/or secondary structure located in the B Business District may not be required to provide minimum off-street parking upon approval of a conditional use permit if it can be demonstrated that the parking requirements can be satisfied by public parking facilities."
Bethlehem,PA,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,75781,40.6178915,-75.3786521,https://parkingreform.org/mandates-map/city_detail/Bethlehem_PA.html,Megan Lysowski,There are no parking minimums in CB Central Business District of Bethlehem.
Beulah,MI,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,313,44.631944,-86.090924,https://parkingreform.org/mandates-map/city_detail/Beulah_MI.html,Samuel Deetz,The Downtown Commercial District is exempt from minimum parking requirements.
Beverly Hills,MI,United States,FALSE,implemented,reduce parking minimums,city center / business district,"commercial,other",,10599,42.5226219,-83.241357,https://parkingreform.org/mandates-map/city_detail/BeverlyHills_MI.html,Samuel Deetz,Parking requirements are reduced in the Village Center Overlay District.
Bexley,OH,United States,FALSE,implemented,"add parking maximums,reduce parking minimums",city center / business district,all uses,,13928,39.9692378,-82.936864,https://parkingreform.org/mandates-map/city_detail/Bexley_OH.html,Samuel Deetz,"Within the Main Street District, parking requirements may be reduced for on-street parking or for cross access agreements. Parking maximums apply to all uses except institutional uses in the district."
Big Lake,MN,United States,FALSE,implemented,"add parking maximums,reduce parking minimums,remove parking minimums",transit oriented,"commercial,other",,11686,45.3324647,-93.7460804,https://parkingreform.org/mandates-map/city_detail/BigLake_MN.html,Samuel Deetz,Nonresidential uses in the Transit Oriented District are exempt from parking requirements. Residential uses have reduced requirements and parking maximums apply to most uses.
Big Rapids,MI,United States,FALSE,implemented,"add parking maximums,reduce parking minimums",city center / business district,all uses,,7727,43.698078,-85.483656,https://parkingreform.org/mandates-map/city_detail/BigRapids_MI.html,Samuel Deetz,Uses within the C-2 Commercial District and within 300 feet of a municipal parking lot may utilize such lots in required parking space calculations. Parking maximums are set at 115% of the minimums citywide.
Big Rock,IL,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,1104,41.7639181,-88.5470219,https://parkingreform.org/mandates-map/city_detail/BigRock_IL.html,Samuel Deetz,"Existing uses in the Central Business Parking Overlay District are required to provide as many parking spaces as possible under their current configuration, but otherwise are exempt. Additions and new uses are exempt if they do not increase the parking deficiency by more than 4 spaces."
Big Timber,MT,United States,FALSE,implemented,reduce parking minimums,city center / business district,"all uses,commercial",,1650,45.834901,-109.955311,https://parkingreform.org/mandates-map/city_detail/BigTimber_MT.html,Samuel Deetz,"Parking requirements for commercial uses in the CBD Central Business District are reduced. Additionally, commercial and retail uses in existing structures in the CBD may change from one permitted use to another without providing additional parking."
Billings,MO,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,1084,37.0675544,-93.5521411,https://parkingreform.org/mandates-map/city_detail/Billings_MO.html,Samuel Deetz,"The ""C-2"" Central Business District is exempt from minimum parking requirements."
Billings,MT,United States,FALSE,implemented,"add parking maximums,reduce parking minimums,remove parking minimums","city center / business district,main street / special",all uses,,109577,45.7874957,-108.49607,https://parkingreform.org/mandates-map/city_detail/Billings_MT.html,Randy Vinson,There are no minimum parking requirements in the Central Business District or the East Billings Parking Overlay. Parking maximums apply to all surface parking. On-street parking may be counted towards parking requirements.
Biloxi,MS,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,49449,30.4007626,-88.8893818,https://parkingreform.org/mandates-map/city_detail/Biloxi_MS.html,Samuel Deetz,Development in the Downtown (DT) District is exempt from the minimum off-street parking requirements.
Binghamton,NY,United States,FALSE,implemented,"add parking maximums,reduce parking minimums","city center / business district,citywide","all uses,commercial,other,residential, all uses",,47969,42.098698,-75.9125187,https://parkingreform.org/mandates-map/city_detail/Binghamton_NY.html,Samuel Deetz,"Off-street parking requirements do not apply to any existing buildings located in the Downtown Business (C-2) District where no parking presently exists and there is no opportunity to provide it, except for certain residential uses. In all Zoning Districts except C-2, off-street parking requirements do not apply to a non-residential land use occupying 4,000 square feet or less and located within an existing structure. Parking requirements may be reduced through the provision of EV chargers. No use other than one or two-unit dwellings may provide parking in excess of 110% of parking minimums."
Birchwood,WI,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,402,45.6580886,-91.5561191,https://parkingreform.org/mandates-map/city_detail/Birchwood_WI.html,Samuel Deetz,The Central Business District is exempt from minimum parking requirements.
Birmingham,AL,United States,TRUE,implemented,"add parking maximums,remove parking minimums",citywide,all uses,2024-05-07,210928,33.5206824,-86.8024326,https://parkingreform.org/mandates-map/city_detail/Birmingham_AL.html,Daniel Christiansen,"In May 2024, Birmingham replaced parking minimums with parking maximums for all uses citywide. Previously, off-street parking was not required in the B-4 Central Business District and were reduced in the B-3 Community Business District or by 10% when within 1000 ft of transit."
Birmingham,MI,United States,FALSE,implemented,"reduce parking minimums,remove parking minimums",city center / business district,"commercial,other,residential, all uses",,21813,42.5467012,-83.2113192,https://parkingreform.org/mandates-map/city_detail/Birmingham_MI.html,Samuel Deetz,"Within the Downtown Birmingham Overlay District, both nonresidential uses located within the parking assessment district and residential units in an existing second or third floor of a landmark building, located within the central business historic district, are exempt from parking mandates. Within the B3 and MX districts, parking requirements are reduced for mixed uses, and on-street parking may count towards requirements in the TZ1 and TZ3 districts."
Biron,WI,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,826,44.4238544,-89.780401,https://parkingreform.org/mandates-map/city_detail/Biron_WI.html,Samuel Deetz,Areas which are located within the fire zone as designated on the Official Map are exempt from minimum parking requirements.
Bismarck,ND,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,73529,46.808327,-100.783739,https://parkingreform.org/mandates-map/city_detail/Bismarck_ND.html,Kate Herzog,Off-street parking is not required for properties within the Downtown Parking District in Bismark.
Bixby,OK,United States,FALSE,implemented,add parking maximums,citywide,all uses,,28609,35.9420431,-95.8833235,https://parkingreform.org/mandates-map/city_detail/Bixby_OK.html,Samuel Deetz,Parking maximums are set at 115% of the minimums.
Black Creek,WI,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,1357,44.4774856,-88.4506568,https://parkingreform.org/mandates-map/city_detail/BlackCreek_WI.html,Samuel Deetz,Areas which are located within the fire zone as designated on the Official Map are exempt from minimum parking requirements.
Black Hawk County,IA,United States,FALSE,implemented,remove parking minimums,main street / special,"other,residential, all uses",,131144,42.4607526,-92.3030235,https://parkingreform.org/mandates-map/city_detail/BlackHawkCounty_IA.html,Samuel Deetz,Parking mandates only apply to the C Commercial and C-M Commercial-Manufacturing districts. All agricultural and residential districts are exempt.
Black Hawk,CO,United States,FALSE,implemented,reduce parking minimums,city center / business district,all uses,,127,39.8011469,-105.4932708,https://parkingreform.org/mandates-map/city_detail/BlackHawk_CO.html,Samuel Deetz,"Within the Commercial Gaming District, a fee in lieu of required parking may be provided."
Black River Falls,WI,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,2022-06-01,3493,44.2952152,-90.8484137,https://parkingreform.org/mandates-map/city_detail/BlackRiverFalls_WI.html,Samuel Deetz,The B-1 Central Business District is exempt from minimum parking regulations.
Blaine,MN,United States,FALSE,implemented,add parking maximums,citywide,"residential, all uses",,70222,45.1607987,-93.2349489,https://parkingreform.org/mandates-map/city_detail/Blaine_MN.html,Samuel Deetz,Single-family dwellings have a parking maximum of four spaces.
Blissfield,MI,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,3277,41.8325487,-83.8624411,https://parkingreform.org/mandates-map/city_detail/Blissfield_MI.html,Samuel Deetz,"The C-2, Central Business District is exempt from parking mandates."
Bloomfield Hills,MI,United States,FALSE,implemented,add parking maximums,citywide,all uses,,4460,42.583645,-83.2454883,https://parkingreform.org/mandates-map/city_detail/BloomfieldHills_MI.html,Samuel Deetz,Parking maximums are set at 120% of the minimums.
Bloomfield,IA,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,2682,40.7510398,-92.4143872,https://parkingreform.org/mandates-map/city_detail/Bloomfield_IA.html,Samuel Deetz,The C-2 District is exempt from minimum parking requirements.
Bloomington,IL,United States,FALSE,implemented,"reduce parking minimums,remove parking minimums",city center / business district,commercial,,78680,40.4797828,-88.9939147,https://parkingreform.org/mandates-map/city_detail/Bloomington_IL.html,Noah Tang,"The minimum parking requirements are waived for nonresidential uses in the D-1 Central Business District. In addition, when the application of the off-street parking regulations results in a requirement of not more than three parking spaces for any nonresidential use, such parking spaces need not be provided. However, where two or more uses are located on a single lot, only one of these uses is eligible for the exemption.

In March 2024, parking mandates for nonresidential uses in the D-2 Downtown Transitional District were removed and reductions expanded for transit, mixed-use areas, on-street parking or public parking."
Bloomington,IN,United States,FALSE,implemented,"add parking maximums,remove parking minimums",city center / business district,all uses,,79168,39.1670396,-86.5342881,https://parkingreform.org/mandates-map/city_detail/Bloomington_IN.html,Samuel Deetz,"Minimum parking requirements do not apply to development in the Courthouse Square Character Area or the Downtown Core Character Area south of 4th Street. In addition, parking maximums exist for all uses."
Bloomsburg,PA,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,12711,41.0044958,-76.4537302,https://parkingreform.org/mandates-map/city_detail/Bloomsburg_PA.html,Samuel Deetz,The C Commercial District is exempt from parking mandates.
Blue Ash,OH,United States,FALSE,implemented,"add parking maximums,remove parking minimums",citywide,"commercial,industrial,other,residential, all uses",,13394,39.2320073,-84.3782817,https://parkingreform.org/mandates-map/city_detail/BlueAsh_OH.html,Samuel Deetz,"There are no parking mandates for uses other than single-family and two-family dwellings. Instead, an applicant is required to provide an ""adequate"" number of spaces as determined by the Community Development Director. Surface parking in the Downtown ""DT"" district is limited to a maximum of 35% of the lot."
Blue Earth,MN,United States,FALSE,implemented,remove parking minimums,city center / business district,commercial,,3174,43.638629,-94.102459,https://parkingreform.org/mandates-map/city_detail/BlueEarth_MN.html,Samuel Deetz,"Restaurants, cafes, bars, taverns, and night clubs in the Central Business District are exempt from parking requirements."
Blue Island,IL,United States,FALSE,implemented,"reduce parking minimums,remove parking minimums","city center / business district,transit oriented",commercial,,22558,41.6572753,-87.6801848,https://parkingreform.org/mandates-map/city_detail/BlueIsland_IL.html,Samuel Deetz,"The first 2000 square feet of a commercial use in the C-1 Central Area Commercial District and UTOD Uptown Transit Oriented Development District is exempt from parking mandates. Any business use may count on-street parking towards the minimums. Prior to 2024, all uses in the C-1 District were exempt, while parking minimums were generally higher."
Blue River,CO,United States,FALSE,implemented,add parking maximums,citywide,all uses,,877,39.7703516,-106.156231,https://parkingreform.org/mandates-map/city_detail/BlueRiver_CO.html,Samuel Deetz,No more than 5 motor vehicles may be parked outside of a closed garage on any lot.
Blue Springs,MO,United States,FALSE,implemented,"add parking maximums,reduce parking minimums",citywide,all uses,,58604,39.017316,-94.282265,https://parkingreform.org/mandates-map/city_detail/BlueSprings_MO.html,Samuel Deetz,"Minimum parking requirements may be reduced through on-street parking, bicycle parking, a walkable development credit based on dwelling unit density and activity streets, and the availability of public parking lots nearby. Parking maximums exist for all uses."
Bluefield,WV,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,9658,37.2698395,-81.2223195,https://parkingreform.org/mandates-map/city_detail/Bluefield_WV.html,Samuel Deetz,"No minimum off-street parking is required in the BC central business district, except for off-street parking which may be required by the board of adjustment as a condition for granting a special exception."
Boiling Springs,NC,United States,FALSE,implemented,"add parking maximums,remove parking minimums","city center / business district,citywide","commercial,industrial,other",,4615,35.254292,-81.6670407,https://parkingreform.org/mandates-map/city_detail/BoilingSprings_NC.html,Samuel Deetz,"Uses in the B-1 Central business district, with the exception of assembly, lodging and educational uses, are exempt from the minimum parking requirements. In addition, all agricultural, industrial, transportation, utility, and wholesale uses are exempt. No more than 150 percent of the minimum number of required parking spaces may be provided, except for uses providing ten or fewer parking spaces, or single family dwellings."
Boise,ID,United States,FALSE,implemented,"add parking maximums,reduce parking minimums,remove parking minimums",city center / business district,all uses,,235684,43.6008183,-116.24210864118,https://parkingreform.org/mandates-map/city_detail/Boise_ID.html,Matthew Pabich,"Parking minimums were reduced in much of the city as part of a wider zoning rewrite, which was approved in June 2023, and went into effect in December 2023. 
The MX-5 District as well as ADUs are exempt from parking mandates and minimums may be reduced through a variety of means.
Additionally, Parking Maximums were implemented for many uses, including Multi-family Dwellings, Art Galleries, Community Centers, and Restaurants. "
Bolivar,MO,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,10679,37.6110502,-93.4107968,https://parkingreform.org/mandates-map/city_detail/Bolivar_MO.html,Samuel Deetz,Off-street parking is not required in the C-3 Central Business District.
Bolivar,OH,United States,FALSE,implemented,reduce parking minimums,citywide,"commercial,other,residential, all uses",,1000,40.650061,-81.4520613,https://parkingreform.org/mandates-map/city_detail/Bolivar_OH.html,Samuel Deetz,Parking requirements are reduced for mixed-use developments.
Bonduel,WI,United States,FALSE,implemented,remove parking minimums,city center / business district,all uses,,1417,44.7402679,-88.4448243,https://parkingreform.org/mandates-map/city_detail/Bonduel_WI.html,Samuel Deetz,The C-1 General Commercial District is exempt from minimum parking requirements.
Bonn,NW,Germany,FALSE,implemented,reduce parking minimums,"city center / business district,citywide",all uses,2022-05-05,336465,50.735851,7.10066,https://parkingreform.org/mandates-map/city_detail/Bonn_NW.html,Samuel Deetz,"Parking requirements are reduced by 10 to 40 percent in three zones which cover the entire city. Parking requirements for a change of use may be waived or reduced. A fee in lieu of parking may be provided. Parking reductions are also available for carsharing, increased parking fees, bike facilities, and transit passes."
